id,regulated_entity_name,regulated_entity_rn_number,city_county,type_of_air_emissions_event,based_on_the,event_began,event_ended,type_of_emission
2622,GENERIC INCIDENT ZIP CODE 7575,RN104036678,"CHANDLER, HENDERSON",,INITIAL REPORT,03/07/2013,03/07/2013,none
2623,N COWDEN UNIT TS 16,RN102412046,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		7:00AM","04/18/2013 
                
",emissions-event
2624,N COWDEN UNIT TEST STN 1,RN102412137,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		7:00AM","04/18/2013 
                
",emissions-event
2625,N COWDEN UNIT TEST STA 4,RN102517935,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		7:00AM","04/18/2013 
                
",emissions-event
2626,N COWDEN UNIT TEST STA 9,RN102751856,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		7:00AM","04/18/2013 
                
",emissions-event
2627,N COWDEN UNIT TEST STA 10,RN102874062,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		7:00AM","04/18/2013 
                
",emissions-event
2628,BOB DERRINGTON WWP,RN101614261,"ODESSA, MIDLAND",WASTEWATER BYPASS,INITIAL REPORT,"04/13/2013 
		8:30AM","04/13/2013 
                
",wastewater-bypass
2629,FLINT HILLS RESOURCES CORPUS C,RN100235266,"CORPUS CHRISTI, NUECES",EMISSIONS EVENT,FINAL REPORT,"04/13/2013 
		3:55PM","04/15/2013 
                
",emissions-event
2630,N COWDEN UNIT TEST SATELLITE 1,RN102995479,", ECTOR",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		7:00AM","04/18/2013 
                
",emissions-event
2631,N COWDEN UNIT TS 15,RN102421773,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		7:00AM","04/18/2013 
                
",emissions-event
2632,N COWDEN UNIT TS 18,RN102422326,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		7:00AM","04/18/2013 
                
",emissions-event
2633,N COWDEN UNIT TS 20,RN102421922,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		7:00AM","04/18/2013 
                
",emissions-event
2690,ETOILE WSC,RN101192987,"ETOILE, NACOGDOCHES",BOIL WATER NOTICE (BWN),FINAL REPORT,04/16/2013,04/19/2013,boil-water-notice-bwn
2634,N COWDEN UNIT TS 22,RN102421369,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		7:00AM","04/18/2013 
                
",emissions-event
2635,TILDEN GAS PLANT,RN100216621,"TILDEN, MCMULLEN",EMISSIONS EVENT,FINAL REPORT,"04/15/2013 
		9:10AM","04/15/2013 
                
",emissions-event
2636,N COWDEN UNIT TS NO 25,RN102413655,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		7:00AM","04/18/2013 
                
",emissions-event
2637,N COWDEN UNIT TS 26,RN102413903,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		7:00AM","04/18/2013 
                
",emissions-event
2638,OB HOLT S TANK BATTERY,RN102418381,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		7:00AM","04/18/2013 
                
",emissions-event
2639,R&L; CARRIERS,RN103727350,"HOUSTON, HARRIS",EMERGENCY RESPONSE,INITIAL REPORT,"04/01/2013 
		4:45AM","04/01/2013 
                
",emergency-response
2640,CORRIGAN COWDEN UNIT TB,RN102515202,"ODESSA, ECTOR",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		7:00AM","04/18/2013 
                
",emissions-event
2641,ORANGE COUNTY WCID 1,RN101417541,"VIDOR, ORANGE",BOIL WATER NOTICE (BWN),FINAL REPORT,03/20/2013,03/27/2013,boil-water-notice-bwn
2642,LE WIGHT B TANK BATTERY,RN102508215,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		7:00AM","06/07/2013 
                
",emissions-event
2643,DOGWOOD HILLS EAST,RN102680451,"PALESTINE, ANDERSON",BOIL WATER NOTICE (BWN),FINAL REPORT,04/13/2013,04/15/2013,boil-water-notice-bwn
2644,GOLDSMITH LANDRETH DEEP UNIT S,RN103024170,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		7:00AM","04/18/2013 
                
",emissions-event
2646,GOLDSMITH LANDRETH DEEP UNIT S,RN102530706,"ODESSA, ECTOR",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		7:00AM","04/18/2013 
                
",emissions-event
2647,GOLDSMITH LANDRETH DEEP UNIT C,RN102996071,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		7:00AM","04/18/2013 
                
",emissions-event
2648,CONSOLIDATED WSC SPRING CREEK ,RN101442416,"LATEXO, HOUSTON",BOIL WATER NOTICE (BWN),FINAL REPORT,03/12/2013,03/18/2013,boil-water-notice-bwn
2649,CONSOLIDATED WSC ROCKHILL ROAD,RN101442069,"LATEXO, HOUSTON",BOIL WATER NOTICE (BWN),FINAL REPORT,03/10/2013,03/14/2013,boil-water-notice-bwn
2650,CONSOLIDATED WSC GOLDEN ACRES ,RN101442614,"LATEXO, HOUSTON",BOIL WATER NOTICE (BWN),FINAL REPORT,03/12/2013,03/18/2013,boil-water-notice-bwn
2651,FIVE WAY WSC,RN101177871,"CENTER, SHELBY",BOIL WATER NOTICE (BWN),FINAL REPORT,04/01/2013,04/05/2013,boil-water-notice-bwn
2652,SOUTH HARRIS PRODUCTION,RN102697802,"SEMINOLE, GAINES",EMISSIONS EVENT,FINAL REPORT,"04/15/2013 
		6:00AM","04/15/2013 
                
",emissions-event
2653,KEYSTONE GAS PLANT,RN100238633,"KERMIT, WINKLER",EMISSIONS EVENT,FINAL REPORT,"04/15/2013 
		10:45AM","04/15/2013 
                
",emissions-event
2654,SNEED BOOSTER STATION,RN100220052,"DUMAS, MOORE",EMISSIONS EVENT,FINAL REPORT,"04/22/2013 
		8:53AM","04/22/2013 
                
",emissions-event
2655,MIDLAND FARMS CENTRAL TANK BAT,RN102570884,"ODESSA, ANDREWS",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		7:30AM","04/19/2013 
                
",emissions-event
2656,PAXTON WSC JACKSON PLANT,RN101210185,"CENTER, SHELBY",BOIL WATER NOTICE (BWN),FINAL REPORT,03/31/2013,04/05/2013,boil-water-notice-bwn
2657,FLINT HILLS RESOURCES PORT ART,RN100217389,"PORT ARTHUR, JEFFERSON",AIR STARTUP,FINAL REPORT,"04/24/2013 
		12:45PM","04/25/2013 
                
",air-startup
2658,MIDLAND FARMS UNIT NORTH FLARE,RN105236426,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		7:30AM","04/19/2013 
                
",emissions-event
2659,CITY OF GROVETON,RN101384402,", TRINITY",BOIL WATER NOTICE (BWN),FINAL REPORT,04/09/2013,04/12/2013,boil-water-notice-bwn
2660,SNEED BOOSTER STATION,RN100220052,"DUMAS, MOORE",EMISSIONS EVENT,FINAL REPORT,"04/26/2013 
		4:47PM","04/26/2013 
                
",emissions-event
2661,FULLERTON CLEARFORK 200 5,RN102983533,"ANDREWS, ANDREWS",EMISSIONS EVENT,FINAL REPORT,"04/15/2013 
		2:30PM","05/14/2013 
                
",emissions-event
2662,FULLERTON CLEARFORK UNIT SUBBA,RN106416738,"ANDREWS, ANDREWS",EMISSIONS EVENT,FINAL REPORT,"04/15/2013 
		3:00PM","05/22/2013 
                
",emissions-event
2663,SOUTHERN UNION PIPELINE PECOS ,RN104213756,", PECOS",MAINTENANCE,FINAL REPORT,"04/17/2013 
		9:00AM","04/17/2013 
                
",maintenance
2664,H O MAHONEY TANK BATTERY,RN102527769,"DENVER CITY, YOAKUM",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		9:00AM","04/19/2013 
                
",emissions-event
2665,WE CONNELL COMINGLING,RN102569506,"PENWELL, ECTOR",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		9:00AM","04/18/2013 
                
",emissions-event
2666,CAG 437 SATELLITE BATTERY,RN103914354,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		8:00AM","04/19/2013 
                
",emissions-event
2731,GENERIC INCIDENT PRINCIPAL ZIP,RN105212591,"EL PASO, EL PASO",EMERGENCY RESPONSE,FINAL REPORT,03/17/2013,03/17/2013,emergency-response
2667,CAG 446 D SATELLITE BATTERY,RN103914289,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		8:00AM","04/19/2013 
                
",emissions-event
2668,CAG 480 SATELLITE BATTERY,RN103914495,"OIL AND GAS PRODUCTION, ECTOR",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		8:00AM","04/19/2013 
                
",emissions-event
2669,CAG 511 SATELLITE BATTERY,RN106343114,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		8:00AM","04/19/2013 
                
",emissions-event
2670,GOLDSMITH CAG 541,RN105295281,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		8:00AM","04/19/2013 
                
",emissions-event
2671,CAG 120 SATELLITE BATTERY,RN106424336,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		8:00AM","04/19/2013 
                
",emissions-event
2672,CITY OF LORENA,RN101428563,", MCLENNAN",BOIL WATER NOTICE (BWN),FINAL REPORT,04/15/2013,04/16/2013,boil-water-notice-bwn
2673,BILL DOWELL DAIRY,RN104709266,", ERATH",TSSWCB REFERRAL,INITIAL REPORT,"04/03/2013 
		9:00AM","04/03/2013 
                
",tsswcb-referral
2674,MIDLAND FARMS UNIT SOUTH FLARE,RN105236392,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		7:30AM","04/19/2013 
                
",emissions-event
2675,HOUSTON PIPE LINE PIPELINE JIM,RN104194899,", JIM HOGG",EMISSIONS EVENT,FINAL REPORT,"04/15/2013 
		1:30PM","04/16/2013 
                
",emissions-event
2676,BOB DERRINGTON WWP,RN101614261,"ODESSA, MIDLAND",WASTEWATER BYPASS,INITIAL REPORT,"04/15/2013 
		7:00PM","04/15/2013 
                
",wastewater-bypass
2677,ALTOGA WSC,RN101436152,"PRINCETON, COLLIN",BOIL WATER NOTICE (BWN),FINAL REPORT,11/30/2012,04/02/2013,boil-water-notice-bwn
2678,GWO 19,RN105682223,"WICKET, WARD",EMISSIONS EVENT,FINAL REPORT,"04/22/2013 
		7:11AM","04/22/2013 
                
",emissions-event
2679,GW O BRIEN SECTION F 18 SATELL,RN105716005,"WICKETT, WARD",EMISSIONS EVENT,FINAL REPORT,"04/22/2013 
		7:11AM","04/22/2013 
                
",emissions-event
2680,SECTION F 1 SATELLITE,RN105715502,"WICKETT, WARD",EMISSIONS EVENT,FINAL REPORT,"04/22/2013 
		7:11AM","04/22/2013 
                
",emissions-event
2681,JED CLAMPETT PRODUCTION FACILI,RN105609481,"ANDREWS, GAINES",EMISSIONS EVENT,FINAL REPORT,"04/15/2013 
		4:00PM","05/13/2013 
                
",emissions-event
2682,ANDREWS BOOSTER STATION,RN100219047,"ANDREWS, ANDREWS",EMISSIONS EVENT,FINAL REPORT,"04/15/2013 
		6:01PM","04/15/2013 
                
",emissions-event
2683,NUECES COUNTY WCID 3,RN101428233,"ROBSTOWN, NUECES",,INITIAL REPORT,04/12/2013,04/12/2013,none
2684,CENTRAL BATTERY&WATER; STA,RN101931897,"ODESSA, ECTOR",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		8:00AM","04/19/2013 
                
",emissions-event
2685,COSMETIC BOAT REPAIR,RN106661499,", GALVESTON",,INITIAL REPORT,03/04/2013,03/04/2013,none
2686,WAHA GAS PLANT,RN100211408,"FORT STOCKTON, PECOS",EMISSIONS EVENT,FINAL REPORT,"04/15/2013 
		5:50PM","04/16/2013 
                
",emissions-event
2687,JOHNSON GBSA UNIT CB,RN102414307,"ODESSA, ECTOR",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		7:00AM","05/22/2013 
                
",emissions-event
2688,JE WITCHER SS AND SAT 4,RN102412145,"ODESSA, ECTOR",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		7:00AM","04/21/2013 
                
",emissions-event
2689,HOUSTON PIPE LINE PIPELINE JIM,RN104194899,", JIM HOGG",EMISSIONS EVENT,FINAL REPORT,"04/15/2013 
		4:00PM","04/16/2013 
                
",emissions-event
2691,CITY OF INGLESIDE,RN102390952,"INGLESIDE, SAN PATRICIO",,INITIAL REPORT,04/16/2013,04/16/2013,none
2692,LEIGH WSC PORT CADDO,RN101235323,", HARRISON",BOIL WATER NOTICE (BWN),FINAL REPORT,04/16/2013,04/24/2013,boil-water-notice-bwn
2693,F FOSTER SATELLITE 1,RN102413796,"ODESSA, ECTOR",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		7:00AM","04/21/2013 
                
",emissions-event
2694,JE WITCHER PA C AND 7,RN102418589,"ODESSA, ECTOR",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		7:00AM","04/21/2013 
                
",emissions-event
2695,GENERIC INCIDENT ZIP CODE 7670,RN104041637,"WACO, MCLENNAN",EMERGENCY RESPONSE,INITIAL REPORT,04/15/2013,04/15/2013,emergency-response
2696,JE WITCHER SATELLITE 1,RN102418761,"ODESSA, ECTOR",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		7:00AM","04/21/2013 
                
",emissions-event
2697,S FOSTER UNIT SAT A TB,RN102420239,"ODESSA, ECTOR",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		7:00AM","04/21/2013 
                
",emissions-event
2698,SOUTH FOSTER SATELLITE F,RN102421427,"ODESSA, ECTOR",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		7:00AM","04/21/2013 
                
",emissions-event
2699,SOUTH FOSTER SATELLITE G,RN102757184,"ODESSA, ECTOR",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		7:00AM","04/21/2013 
                
",emissions-event
2700,LAGUNA A STORAGE SYSTEM,RN102943214,"ODESSA, ECTOR",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		7:00AM","04/21/2013 
                
",emissions-event
2701,SAND HILLS GAS PLANT,RN102552031,"CRANE, CRANE",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		1:00AM","04/16/2013 
                
",emissions-event
2702,SAND HILLS GAS PLANT,RN102552031,"CRANE, CRANE",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		1:00AM","04/16/2013 
                
",emissions-event
2703,MCELROY SECTION 199 EMERGENCY ,RN102297827,"CRANE, CRANE",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		8:00AM","04/19/2013 
                
",emissions-event
2704,JT MCELROY 202 TB,RN102303336,"CRANE, CRANE",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		8:00AM","04/19/2013 
                
",emissions-event
2705,WADDELL COMPRESSOR STATION,RN102551785,"CRANE, CRANE",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		1:00AM","04/16/2013 
                
",emissions-event
2706,MABEE RANCH C02 PLANT,RN102535796,"MIDLAND, ANDREWS",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		11:30AM","04/16/2013 
                
",emissions-event
2707,TARGA MIDSTREAM SERVICES PIPEL,RN104396593,", WARD",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		1:00AM","04/16/2013 
                
",emissions-event
2708,WEST SEMINOLE SAN ANDRES UNIT ,RN102941358,"SEMINOLE, GAINES",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		4:00PM","04/19/2013 
                
",emissions-event
2709,E WADEL RCH BAT140 SAT633,RN102499308,"PENWELL, CRANE",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		8:00AM","04/19/2013 
                
",emissions-event
2710,EAST WADDEL RANCH BATT 52,RN102770278,"PENWELL, CRANE",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		8:00AM","04/19/2013 
                
",emissions-event
2751,WA PARISH ELECTRIC GENERATING ,RN100888312,"THOMPSONS, FORT BEND",EXCESS OPACITY,INITIAL REPORT,"04/17/2013 
		7:00PM","04/17/2013 
                
",excess-opacity
2711,EAST WADDELL RANCH BATTERY 72,RN106544331,"PENWELL, CRANE",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		8:00AM","04/19/2013 
                
",emissions-event
2712,EAST WADDELL RANCH BAT 11,RN103034971,"PENWELL, CRANE",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		8:00AM","04/19/2013 
                
",emissions-event
2713,EAST WADDELL RANCH BAT116,RN102872058,"PENWELL, CRANE",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		8:00AM","04/19/2013 
                
",emissions-event
2714,E WADDELL RANCH SAT 38,RN102871571,"PENWELL, CRANE",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		8:00AM","04/19/2013 
                
",emissions-event
2715,E WADDELL RANCH BAT 265,RN102498649,"PENWELL, CRANE",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		8:00AM","04/19/2013 
                
",emissions-event
2716,EAST WADDELL RANCH BAT 45,RN102708286,"PENWELL, CRANE",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		8:00AM","04/19/2013 
                
",emissions-event
2717,RUSSELL COMPRESSOR STATION,RN102554243,"DENVER CITY, GAINES",EMISSIONS EVENT,FINAL REPORT,"04/17/2013 
		8:00AM","04/17/2013 
                
",emissions-event
2718,GENERIC INCIDENT ZIP CODE 7542,RN104034939,"BRASHEAR, HOPKINS",,INITIAL REPORT,"04/01/2013 
		6:50PM","04/16/2013 
                
",none
2719,CHEVRON PHILLIPS CHEMICAL SWEE,RN100825249,"OLD OCEAN, BRAZORIA",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		9:10AM","04/20/2013 
                
",emissions-event
2720,MONAHANS WEST FIELD FACILITY,RN102547601,"WICKETT, WARD",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		9:15AM","04/16/2013 
                
",emissions-event
2721,GENERIC INCIDENT ZIP CODE 7509,RN104032933,"WYLIE, COLLIN",,FINAL REPORT,04/14/2013,04/16/2013,none
2722,SWEENY REFINERY,RN101619179,"OLD OCEAN, BRAZORIA",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		9:11AM","04/16/2013 
                
",emissions-event
2723,CARTHAGE ORIENTED STRANDBOARD ,RN100215433,"CARTHAGE, PANOLA",MAINTENANCE,FINAL REPORT,"04/24/2013 
		6:45AM","04/24/2013 
                
",maintenance
2724,GOLDSMITH GAS PLANT,RN100222330,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"04/17/2013 
		1:27AM","04/17/2013 
                
",emissions-event
2725,BRUSHY CREEK WSC,RN101205474,"MONTALBA, ANDERSON",BOIL WATER NOTICE (BWN),FINAL REPORT,04/02/2013,04/03/2013,boil-water-notice-bwn
2726,TEXAS COUNTRY ESTATES,RN101181808,"NEW BRAUNFLES, COMAL",,INITIAL REPORT,04/17/2013,04/24/2013,none
2727,CITY OF KILLEEN,RN101391308,"KILLEEN, BELL",BOIL WATER NOTICE (BWN),FINAL REPORT,04/23/2013,04/25/2013,boil-water-notice-bwn
2728,WAHA GAS PLANT,RN100211408,"FORT STOCKTON, PECOS",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		12:40PM","04/16/2013 
                
",emissions-event
2729,D & M WSC,RN101441533,"NACOGDOCHES, NACOGDOCHES",BOIL WATER NOTICE (BWN),FINAL REPORT,04/16/2013,04/18/2013,boil-water-notice-bwn
2730,RILEY BOOSTER STATION,RN100217546,"SEMINOLE, GAINES",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		9:30PM","04/17/2013 
                
",emissions-event
2732,RUSSELL COMPRESSOR STATION,RN102554243,"DENVER CITY, GAINES",EMISSIONS EVENT,FINAL REPORT,"04/17/2013 
		9:00AM","04/25/2013 
                
",emissions-event
2733,GENERIC INCIDENT ZIP CODE 7742,RN104045307,"CYPRESS, HARRIS",,INITIAL REPORT,03/23/2013,04/05/2013,none
2734,MYRTLE SPRINGS COMPRESSOR STAT,RN102533189,"WILLS POINT, VAN ZANDT",EMISSIONS EVENT,INITIAL REPORT,"04/16/2013 
		4:00PM","04/16/2013 
                
",emissions-event
2735,MAXEY ENERGY COMPANY,RN103115481,"UVALDE, UVALDE",EMERGENCY RESPONSE,INITIAL REPORT,"04/15/2013 
		6:30AM","04/15/2013 
                
",emergency-response
2736,FLINT HILLS RESOURCES EAST REF,RN102534138,"CORPUS CHRISTI, NUECES",EMISSIONS EVENT,FINAL REPORT,"04/16/2013 
		5:45PM","04/17/2013 
                
",emissions-event
2737,TILDEN GAS PLANT,RN100216621,"TILDEN, MCMULLEN",EMISSIONS EVENT,INITIAL REPORT,"04/17/2013 
		12:20PM","04/17/2013 
                
",emissions-event
2738,ALON USA BIG SPRING REFINERY,RN100250869,"BIG SPRING, HOWARD",EMISSIONS EVENT,FINAL REPORT,"04/17/2013 
		6:31AM","04/18/2013 
                
",emissions-event
2739,PORT NECHES OPERATIONS C4 PLAN,RN104964267,"PORT NECHES, JEFFERSON",EMISSIONS EVENT,FINAL REPORT,"04/17/2013 
		7:32PM","04/17/2013 
                
",emissions-event
2740,PENN UNIT ABCD BATTERY ANDRES,RN102936655,"ANDREWS, ANDREWS",EMISSIONS EVENT,FINAL REPORT,"04/17/2013 
		11:00PM","04/19/2013 
                
",emissions-event
2741,GENERIC INCIDENT ZIP CODE 7840,RN104050562,"CORPUS CHRISTI, NUECES",,INITIAL REPORT,04/18/2013,04/18/2013,none
2752,COPANO SALES STATION,RN106681034,"SHINER, LAVACA",,INITIAL REPORT,04/12/2013,04/26/2013,none
2742,SARITA COMPRESSOR STATION,RN100226257,"RIVIERA, KENEDY",EMISSIONS EVENT,FINAL REPORT,"04/17/2013 
		10:15AM","04/17/2013 
                
",emissions-event
2743,KEYSTONE GAS PLANT,RN100238633,"KERMIT, WINKLER",EMISSIONS EVENT,FINAL REPORT,"04/17/2013 
		10:28AM","04/17/2013 
                
",emissions-event
2744,FULLERTON GAS PLANT,RN100218684,"ANDREWS, ANDREWS",EMISSIONS EVENT,FINAL REPORT,"04/17/2013 
		1:00PM","04/19/2013 
                
",emissions-event
2745,ANDREWS BOOSTER STATION,RN100219047,"ANDREWS, ANDREWS",EMISSIONS EVENT,FINAL REPORT,"04/17/2013 
		7:16PM","04/18/2013 
                
",emissions-event
2746,GENERIC INCIDENT ZIP CODE 7540,RN104034798,"GREENVILLE, HUNT",EMERGENCY RESPONSE,FINAL REPORT,"04/17/2013 
		9:00PM",05/21/2013,emergency-response
2747,RILEY BOOSTER STATION,RN100217546,"SEMINOLE, GAINES",EMISSIONS EVENT,FINAL REPORT,"04/17/2013 
		7:16PM","04/17/2013 
                
",emissions-event
2748,TILDEN GAS PLANT,RN100216621,"TILDEN, MCMULLEN",EMISSIONS EVENT,FINAL REPORT,"04/18/2013 
		8:00AM","04/18/2013 
                
",emissions-event
2749,GENERIC INCIDENT ZIP CODE 7821,RN104049275,"SAN ANTONIO, BEXAR",EMERGENCY RESPONSE,INITIAL REPORT,"04/18/2013 
		10:10AM",12/31/3000,emergency-response
2750,HERRERA CHEVRON,RN106548563,", EL PASO",EMERGENCY RESPONSE,INITIAL REPORT,"04/17/2013 
		11:00PM","04/17/2013 
                
",emergency-response
2753,ASH GROVE CEMENT,RN100225978,"MIDLOTHIAN, ELLIS",AIR SHUTDOWN,FINAL REPORT,"04/28/2013 
		11:00AM","04/28/2013 
                
",air-shutdown
2754,MALLET CO2 RECOVERY PLANT,RN102205119,"SUNDOWN, HOCKLEY",MAINTENANCE,FINAL REPORT,"04/22/2013 
		7:00AM","04/23/2013 
                
",maintenance
2755,MALLET CO2 RECOVERY PLANT,RN102205119,"SUNDOWN, HOCKLEY",MAINTENANCE,FINAL REPORT,"04/24/2013 
		7:00AM","04/27/2013 
                
",maintenance
2756,PITTSBURG GAS PLANT,RN100223783,"PITTSBURG, CAMP",MAINTENANCE,FINAL REPORT,"04/18/2013 
		4:00PM","04/18/2013 
                
",maintenance
2757,G W OBRIEN TANK BATTERY 271,RN105015960,"WARD, WINKLER",EMISSIONS EVENT,FINAL REPORT,"04/18/2013 
		9:30AM","04/19/2013 
                
",emissions-event
2758,GW OBRIEN 231 AUXILIARY,RN105016067,"WICKETT, WARD",EMISSIONS EVENT,FINAL REPORT,"04/18/2013 
		9:30AM","04/19/2013 
                
",emissions-event
2759,GW OBRIEN SECTION 170 TANK BAT,RN105016000,"KERMIT, WINKLER",EMISSIONS EVENT,FINAL REPORT,"04/18/2013 
		9:30AM","04/19/2013 
                
",emissions-event
2760,EW ESTES 133 AUXILIARY,RN105015275,"WICKETT, WARD",EMISSIONS EVENT,FINAL REPORT,04/18/2013,"04/19/2013 
                
",emissions-event
2761,EW ESTES 3 TANK BATTERY,RN105010144,"WICKETT, WARD",EMISSIONS EVENT,FINAL REPORT,"04/18/2013 
		9:30AM","04/19/2013 
                
",emissions-event
2782,ADJ 1958,RN101436095,", KERR",,INITIAL REPORT,03/20/2013,03/20/2013,none
2762,A 1O HUTT COMPRESSOR STATION,RN102217015,"MIDLAND, MIDLAND",EMISSIONS EVENT,FINAL REPORT,"04/18/2013 
		3:13AM","04/18/2013 
                
",emissions-event
2763,NASA JOHNSON SPACE CENTER,RN100665579,"HOUSTON, HARRIS",MAINTENANCE,FINAL REPORT,"05/16/2013 
		12:00PM","05/16/2013 
                
",maintenance
2764,ROPER RESIDENCE,RN106671456,", DALLAS",,INITIAL REPORT,"03/19/2013 
		2:30PM","03/19/2013 
                
",none
2765,MIDKIFF GAS PLANT,RN100215714,"MIDKIFF, REAGAN",EMISSIONS EVENT,FINAL REPORT,"04/18/2013 
		1:05AM","04/19/2013 
                
",emissions-event
2766,DRIVER GAS PLANT,RN100215102,"MIDKIFF, MIDLAND",AIR STARTUP,FINAL REPORT,"04/18/2013 
		11:00PM",04/22/2013,air-startup
2767,GENERIC INCIDENT ZIP CODE 7521,RN104033725,"DALLAS, DALLAS",EMERGENCY RESPONSE,FINAL REPORT,"04/19/2013 
		4:58AM",05/23/2013,emergency-response
2768,CITY OF WEST,RN102693447,", MCLENNAN",BOIL WATER NOTICE (BWN),FINAL REPORT,04/18/2013,05/01/2013,boil-water-notice-bwn
2769,LYNA MARINE SUPPLY,RN105159834,", GALVESTON",,INITIAL REPORT,04/16/2013,04/16/2013,none
2770,CITY OF MARLIN,RN102886892,", FALLS",BOIL WATER NOTICE (BWN),FINAL REPORT,04/17/2013,04/30/2013,boil-water-notice-bwn
2771,INDIAN SPRINGS GAS PLANT,RN100228998,"LIVINGSTON, POLK",EMISSIONS EVENT,FINAL REPORT,"04/18/2013 
		12:15PM","04/18/2013 
                
",emissions-event
2772,WEST WADDELL RANCH SAT220,RN104177217,"CRANE, CRANE",EMISSIONS EVENT,FINAL REPORT,"04/18/2013 
		7:00PM","04/19/2013 
                
",emissions-event
2783,LDH ENERGY MONT BELVIEU FRACTI,RN106018260,"MONT BELVIEU, CHAMBERS",EXCESS OPACITY,INITIAL REPORT,"04/18/2013 
		2:18PM","04/18/2013 
                
",excess-opacity
