id,contaminant,limit,amount_released
1416,Hydrogen Sulfide,0,9.57 lbs (est.)
1417,NATURAL GAS,0,299.0 lbs (est.)
1418,NOX,0,168.0 lbs (est.)
1419,Sulfur dioxide,0,899.0 lbs (est.)
1420,"1,2 dimethyl-3-ethylbenzene",0,27.65 lbs
1421,"1,2 dimethyl-4-ethylbenzene",0,46.35 lbs
1422,"1,2,3,5 tetramethylbenzene",0,18.0 lbs
1423,"1,2,4,5 tetramethylbenzene",0,19.07 lbs
1424,"1,3 dimethyl-4-ethylbenzene",0,16.61 lbs
1425,"1,4 diethylbenzene",0,18.43 lbs
1426,"1,4,dimethyl-2-ethylbenzene",0,14.95 lbs
1427,1-ethyl-2-propylbenzene,0,12.02 lbs
1428,1-methyl-2-isopropylbenzene,0,9.26 lbs
1429,1-methyl-2-propylbenzene,0,17.44 lbs
1430,1-methyl-4-propylbenzene,0,14.17 lbs
1431,2 methyl nonane,0,11.66 lbs
1432,"2,5 dimethyloctane",0,7.85 lbs
1433,3-methylnonane,0,13.65 lbs
1434,5-methylindan,0,41.7 lbs
1435,5-methylnonane,0,7.32 lbs
1436,Benzene,0,4.08 lbs (est.)
1437,Butane,0,1.13 lbs
1438,C10 Aromatics,0,98.19 lbs
1439,C10 Naphthenes,0,49.05 lbs
1440,C10 Paraffins,0,86.43 lbs
1441,C11 Aromatics,0,90.69 lbs
1442,C11 Naphthalenes,0,19.41 lbs
1443,C11 Paraffins,0,173.47 lbs
1444,C12 Alkanes,0,67.89 lbs
1445,C12 Aromatics,0,180.63 lbs
1446,C12 Hydrocarbons,0,0.44 lbs
1447,C7 Aromatic,0,4.85 lbs
1448,C7 Naphthenes,0,5.12 lbs
1449,C8 Naphthenes,0,38.61 lbs
1450,C8 Parafins,0,17.95 lbs
1451,C9 Aromatics,0,98.21 lbs
1452,C9 Naphthene,0,58.33 lbs
1453,C9 Paraffins,0,59.15 lbs
1454,"Hexane, n",0,0.056 lbs
1455,Hydrogen Sulfide,0,3.74 lbs (est.)
1456,Isobutane,0,2.09 lbs
1457,Isopentane,0,2.25 lbs
1458,Jet Fuel,0,599.44 lbs
1459,Naphtha,0,122.53 lbs
1460,Other Organics,0,203.27 lbs
1461,Paraffins,0,1.06 lbs
1462,Pentane,0,3.67 lbs
1463,Propane,0,7.23 lbs
1519,Carbon Monoxide,0,14.0 lbs (est.)
1464,Carbon Monoxide,0,21.45 lbs (est.)
1465,Hydrogen Sulfide,0,8.93 lbs (est.)
1466,Nitrogen Oxides (NOx),0,2.65 lbs (est.)
1467,Sulfur dioxide,0,824.04 lbs (est.)
1468,VOC - NONMETHANE,0,6.4 lbs (est.)
1469,Carbon Monoxide,0,1.3 lbs (est.)
1470,Hydrogen Sulfide,0,6.1 lbs (est.)
1471,Nitrogen dioxide,0,0.1 lbs (est.)
1472,Nitrogen oxide,0,0.1 lbs (est.)
1473,Sulfur dioxide,0,576.4 lbs (est.)
1474,VOC GAS MIXTURE,0,0.3 lbs (est.)
1475,Carbon Monoxide,0,142.34 lbs (est.)
1476,Hydrogen Sulfide,0,87.33 lbs (est.)
1477,Nitrogen Oxides,0,16.58 lbs (est.)
1478,Sulfur dioxide,0,8137.416 lbs (est.)
1479,VOC,0,36.26 lbs (est.)
1480,Sewage,0,100000.0 gals
1481,"Wastewater discharge, municipal",0,450.0 gals (est.)
1482,"Wastewater discharge, municipal",0,750.0 gals (est.)
1483,"Wastewater discharge, municipal",0,1050.0 gals (est.)
1484,"Butyl Alcohol, n-",134.68 LBS/HR,1060.8 lbs (est.)
1485,Carbon Monoxide,2.06 LBS/HR,71.23 lbs (est.)
1486,Dibutylaminoethanol,134.68 LBS/HR,27.3 lbs (est.)
1487,Dimethylethanolamine,134.68 LBS/HR,285.5 lbs (est.)
1488,Formaldehyde,134.68 LBS/HR,69.4 lbs (est.)
1489,Glycol ethers,134.68 LBS/HR,1098.6 lbs (est.)
1490,Isobutyl alcohol,134.68 LBS/HR,47.5 lbs (est.)
1491,Isopropyl alcohol,134.68 LBS/HR,132.3 lbs (est.)
1492,Mineral Spirit,134.68 LBS/HR,1.5 lbs (est.)
1493,Nitrogen oxide,2.46 LBS/HR,84.8 lbs (est.)
1494,POM,0.38 LBS/HR,6.44 lbs (est.)
1495,Polypropylene glycol ether,134.68 LBS/HR,57.7 lbs (est.)
1496,Sulfur dioxide,0.02 LBS/HR,0.51 lbs (est.)
1497,Technical White Oil,134.68 LBS/HR,29.5 lbs (est.)
1498,VOC,3.18 LBS/HR,4.66 lbs (est.)
1499,t-Butyl Alcohol,134.68 LBS/HR,3.4 lbs (est.)
1500,"Butyl Alcohol, n-",134.68 LBS/HR,1060.8 lbs (est.)
1501,Carbon Monoxide,2.06 LBS/HR,71.23 lbs (est.)
1502,Dibutylaminoethanol,134.68 LBS/HR,27.3 lbs (est.)
1503,Dimethylethanolamine,134.68 LBS/HR,285.5 lbs (est.)
1504,Formaldehyde,134.68 LBS/HR,69.4 lbs (est.)
1505,Glycol ethers,134.68 LBS/HR,1098.6 lbs (est.)
1506,Isobutyl alcohol,134.68 LBS/HR,47.5 lbs (est.)
1507,Isopropyl alcohol,134.68 LBS/HR,132.3 lbs (est.)
1508,Mineral Spirit,134.68 LBS/HR,1.5 lbs (est.)
1509,Nitrogen oxide,2.46 LBS/HR,84.8 lbs (est.)
1510,POM,0.38 LBS/HR,6.44 lbs (est.)
1511,Polypropylene glycol ether,134.68 LBS/HR,57.7 lbs (est.)
1512,Sulfur dioxide,0.02 LBS/HR,0.51 lbs (est.)
1513,Technical White Oil,134.68 LBS/HR,29.5 lbs (est.)
1514,VOC,3.18 LBS/HR,4.66 lbs (est.)
1515,t-Butyl Alcohol,134.68 LBS/HR,3.4 lbs (est.)
1516,Unknown,0,Unknown
1517,Mineral oil,0,10.0 gals (est.)
1518,Diesel fuel,0,50.0 gals
14154,Sewage,0,1200.0 gals (est.)
1520,Nitrogen dioxide,0,3.8 lbs (est.)
1521,Nitrogen oxide,0,1.0 lbs (est.)
1522,Nitrous Oxide,0,4200.0 lbs (est.)
1523,Diesel fuel,0,30.0 gals (est.)
1524,NOx (Startup/Shutdown),30.0 % op,30.0 % op (est.)
1525,Opacity,20.0 % op,23.17 % op (est.)
1526,Halon 1301 (Bromotrifluoromethane),0,290.0 lbs (est.)
1527,Diesel fuel,0,75.0 gals (est.)
1528,Toluenediisocyanate (unspecified isomer),0,10.0 gals
1529,"Wastewater discharge, industrial",0,25.0 gals
1530,Lube oil,0,30.0 gals (est.)
1531,Hydrogen Sulfide,0,371.0 lbs (est.)
1532,Natural Gas VOCs,0,9860.0 lbs (est.)
1533,NOX,200.0 lbs,34568.0 lbs (est.)
1534,Carbon Monoxide,0,7886.0 lbs (est.)
1535,Hydrogen Sulfide,0,35.5 lbs (est.)
1536,Non-Methane Non-Ethane Natural Gas,0,458.0 lbs (est.)
1537,Oxides of Nitrogen (NOx),0,919.8 lbs (est.)
1538,Sulfur dioxide,0,3272.0 lbs (est.)
1539,Opacity,30.0 % op,9.7 % op (est.)
1540,Opacity,15.5 % op,50.0 % op (est.)
1541,Carbon Monoxide,0,1076.0 lbs (est.)
1542,Nitrogen oxide,0,259.0 lbs (est.)
1543,Ammonia,4.72 LBS/HR,1.0 lbs (est.)
1544,Carbon Monoxide,15.53 LBS/HR,436.0 lbs (est.)
1545,Nitrogen oxide,24.58 LBS/HR,899.0 lbs (est.)
1546,Particulate Matter,7.28 LBS/HR,79.0 lbs (est.)
1547,Sulfur dioxide,0.81 LBS/HR,9.0 lbs (est.)
1548,VOC( unspeciated),2.06 LBS/HR,22.0 lbs (est.)
1549,Butanes,3.51 LBS/HR,0.231 lbs (est.)
1550,Carbon Monoxide,12.1 LBS/HR,5.01 lbs (est.)
1551,Ethylene (gaseous),3.51 LBS/HR,0.995 lbs (est.)
1552,Oxides of Nitrogen (NOx),5.76 LBS/HR,0.589 lbs (est.)
1553,Propane,3.51 LBS/HR,0.38 lbs (est.)
1554,Propylene (Propene),3.51 LBS/HR,0.255 lbs (est.)
1555,Ethylene (gaseous),5000.0 lbs,14692.0 lbs (est.)
1556,Butanes,3.51 LBS/HR,94.17 lbs (est.)
1557,Carbon Monoxide,12.1 LBS/HR,1829.94 lbs (est.)
1558,Ethylene (gaseous),3.51 LBS/HR,2405.93 lbs (est.)
1559,Oxides of Nitrogen (NOx),5.76 LBS/HR,830.87 lbs (est.)
1560,Propane,3.51 LBS/HR,1169.39 lbs (est.)
1561,Propylene (Propene),3.51 LBS/HR,238.43 lbs (est.)
1562,"Wastewater discharge, municipal",0,450.0 gals (est.)
1563,Sewage,0,8000.0 gals (est.)
1564,DIESEL OIL #2/GUAR GUM,0,80.0 gals
1565,Carbon Monoxide,0,268.0 lbs (est.)
1566,Hydrogen Sulfide,0,12.0 lbs (est.)
1567,NOX,0,115.0 lbs (est.)
1568,Non-Methane Non-Ethane Natural Gas,0,244.0 lbs (est.)
1569,Sulfur dioxide,0,1134.0 lbs (est.)
1570,Carbon Monoxide,0,391.0 lbs (est.)
1571,Hydrogen Sulfide,0,41.0 lbs (est.)
1572,NOX,0,196.0 lbs (est.)
1573,Non-Methane Non-Ethane Natural Gas,0,499.0 lbs (est.)
1574,Sulfur dioxide,0,3756.0 lbs (est.)
1575,Benzene,0,3.5 gals
1576,"1,2 Butadiene",15.56 LBS/HR,16.8 lbs (est.)
1577,"1,3-BUTADIENE",15.56 LBS/HR,3870.0 lbs (est.)
1578,1-Butene,15.56 LBS/HR,642.8 lbs (est.)
1579,Benzene,15.56 LBS/HR,18.1 lbs (est.)
1580,"Butane, N-",15.56 LBS/HR,457.5 lbs (est.)
1581,Cis-2-butene,15.56 LBS/HR,218.4 lbs (est.)
1582,Ethane,15.56 LBS/HR,36.3 lbs (est.)
1583,Isobutane,15.56 LBS/HR,435.5 lbs (est.)
1584,Isobutylene,15.56 LBS/HR,248.2 lbs (est.)
1585,Isopentane,15.56 LBS/HR,16.18 lbs (est.)
1586,"Pentane, N-",15.56 LBS/HR,107.6 lbs (est.)
1587,Trans-2-butene,15.56 LBS/HR,293.0 lbs (est.)
1588,Vinyl acetylene,15.56 LBS/HR,119.2 lbs (est.)
1589,Gasoline,0,48.0 gals
1590,Opacity,20.0 % op,42.0 % op (est.)
1591,Opacity,20.0 % op,63.0 % op (est.)
1592,Opacity,20.0 % op,83.0 % op (est.)
1593,CO,0.49 TONS/YR,298.58 lbs (est.)
1594,Hydrogen Sulfide,0.45 TONS/YR,1.54 lbs (est.)
1595,NOX,0.5 TONS/YR,149.56 lbs (est.)
1596,Sulfur dioxide,0,145.1 lbs (est.)
1597,VOCs,12.28 TONS/YR,309.2 lbs (est.)
1598,Creosote,1.0 lbs,Unknown
1599,Hydraulic Oil,0,0.5 gals
1600,SODIUM CARBONATE (SODA ASH),0,Unknown
1601,Water (H2O),0,300.0 gals (est.)
1602,Water (H2O),0,150.0 gals
1603,CO,250.0 TONS/YR,244.0 lbs (est.)
1604,Hydrogen Sulfide,25.0 TONS/YR,35.0 lbs (est.)
1605,NATURAL GAS,25.0 TONS/YR,666.0 lbs (est.)
1606,NOX,250.0 TONS/YR,122.0 lbs (est.)
1607,"Propane, N-",25.0 TONS/YR,299.0 lbs (est.)
1608,Sulfur dioxide,25.0 TONS/YR,1312.0 lbs (est.)
1609,Carbon Monoxide,0,1110.0 lbs (est.)
1610,Ethylene (gaseous),0,1987.0 lbs (est.)
1611,Nitrogen Oxides,0,556.0 lbs (est.)
1612,Carbon Monoxide,0,25.4 lbs (est.)
1613,Hydrogen Sulfide,0,4010.0 lbs (est.)
1614,NATURAL GAS,0,2010.0 lbs (est.)
1615,NOX,0,1340.0 lbs (est.)
1616,Sulfur dioxide,0,377000.0 lbs (est.)
1617,Carbon Monoxide,0,1870.0 lbs (est.)
1618,NATURAL GAS,0,27.5 lbs (est.)
1619,NOX,0,218.0 lbs (est.)
1620,Carbon Monoxide,0,2100.0 lbs (est.)
1621,Hydrogen Sulfide,0,48.7 lbs (est.)
1622,NATURAL GAS,0,1690.0 lbs (est.)
1623,NOX,0,1050.0 lbs (est.)
1624,Sulfur dioxide,0,4580.0 lbs (est.)
1625,"GASOLINE, AUTOMOTIVE OR AVIATION",0,10.0 gals
1626,Diesel fuel,0,100.0 gals
1627,Alumina Hydrate Dust,18.86 LBS/HR,0.00001 lbs (est.)
1628,Opacity,15.0 % op,0.00001 % op (est.)
1629,Carbon Monoxide,0.19 LBS/HR,13383.0 lbs (est.)
1630,Hydrogen Sulfide,0,1232.9 lbs (est.)
1631,Non-Methane Non-Ethane Natural Gas,0.01 LBS/HR,3075.0 lbs (est.)
1632,Oxides of Nitrogen (NOx),0.02 LBS/HR,1560.9 lbs (est.)
1633,Sulfur dioxide,0.04 LBS/HR,113714.0 lbs (est.)
1634,Carbon Monoxide,0,2342.0 lbs (est.)
1635,Hydrogen Sulfide,0,32.0 lbs (est.)
1636,NOX,0,273.0 lbs (est.)
1637,Non-Methane Non-Ethane Natural Gas,0,2997.0 lbs (est.)
1638,Sulfur dioxide,0,2962.0 lbs (est.)
1639,Carbon Monoxide,0,86.56 lbs (est.)
1640,Hydrogen Sulfide,0,3.74 lbs (est.)
1641,Oxides of Nitrogen (NOx),0,27.21 lbs (est.)
1642,Particulate Matter,0,0.75 lbs (est.)
1643,Sulfur dioxide,0,1073.93 lbs (est.)
1644,VOC,0,0.55 lbs (est.)
1645,CO,250.0 TONS/YR,184.0 lbs (est.)
1646,Hydrogen Sulfide,25.0 TONS/YR,0.12 lbs (est.)
1647,NATURAL GAS,25.0 TONS/YR,954.0 lbs (est.)
1648,NOX,250.0 TONS/YR,92.0 lbs (est.)
1649,"Propane, N-",25.0 TONS/YR,434.0 lbs (est.)
1650,Sulfur dioxide,25.0 TONS/YR,5.0 lbs (est.)
1651,CO,250.0 TONS/YR,101.0 lbs (est.)
1652,Hydrogen Sulfide,25.0 TONS/YR,0.07 lbs (est.)
1653,NATURAL GAS,25.0 TONS/YR,600.0 lbs (est.)
1654,NOX,250.0 TONS/YR,51.0 lbs (est.)
1655,"Propane, N-",25.0 TONS/YR,272.0 lbs (est.)
1656,Sulfur dioxide,25.0 TONS/YR,1.0 lbs (est.)
1657,CO,250.0 TONS/YR,118.0 lbs (est.)
1658,Hydrogen Sulfide,25.0 TONS/YR,0.17 lbs (est.)
1659,NATURAL GAS,25.0 TONS/YR,629.0 lbs (est.)
1660,NOX,250.0 TONS/YR,59.0 lbs (est.)
1661,"Propane, N-",25.0 TONS/YR,238.0 lbs (est.)
1662,Sulfur dioxide,25.0 TONS/YR,7.0 lbs (est.)
1663,CO,250.0 TONS/YR,221.0 lbs (est.)
1664,Hydrogen Sulfide,25.0 TONS/YR,0.25 lbs (est.)
1665,NATURAL GAS,25.0 TONS/YR,846.0 lbs (est.)
1666,NOX,250.0 TONS/YR,111.0 lbs (est.)
1667,"Propane, N-",25.0 TONS/YR,418.0 lbs (est.)
1668,Sulfur dioxide,25.0 TONS/YR,10.0 lbs (est.)
1669,CO,250.0 TONS/YR,282.0 lbs (est.)
1670,NATURAL GAS,25.0 TONS/YR,1518.0 lbs (est.)
1671,NOX,250.0 TONS/YR,141.0 lbs (est.)
1672,"Propane, N-",25.0 TONS/YR,775.0 lbs (est.)
1673,CO,250.0 TONS/YR,20.0 lbs (est.)
1674,Hydrogen Sulfide,25.0 TONS/YR,40.0 lbs (est.)
1675,NATURAL GAS,25.0 TONS/YR,108.0 lbs (est.)
1676,NOX,250.0 TONS/YR,10.0 lbs (est.)
1677,"Propane, N-",25.0 TONS/YR,39.0 lbs (est.)
1678,Sulfur dioxide,25.0 TONS/YR,1502.0 lbs (est.)
1679,CO,250.0 TONS/YR,71.0 lbs (est.)
1680,NATURAL GAS,25.0 TONS/YR,250.0 lbs (est.)
1681,NOX,250.0 TONS/YR,36.0 lbs (est.)
1682,"Propane, N-",25.0 TONS/YR,135.0 lbs (est.)
1683,Carbon Monoxide,15290.88 lbs,378.08 lbs (est.)
1684,Hydrogen Sulfide,1364.74 lbs,2448.2 lbs (est.)
1685,NATURAL GAS,25.34 lbs,15.69 lbs (est.)
1686,Nitrogen Oxides,1158.4 lbs,94.93 lbs (est.)
1687,Sulfur dioxide,174375.4 lbs,225499.86 lbs (est.)
1688,Opacity,20.0 % op,5.43 % op (est.)
1689,"1,3-BUTADIENE",0,0.9 lbs (est.)
1690,Carbon Monoxide,0.19 LBS/HR,0.1 lbs (est.)
1691,Cis-2-butene,0,0.1 lbs (est.)
1692,Ethylene (gaseous),0,0.3 lbs (est.)
1693,Hydrogen Sulfide,0,4.5 lbs (est.)
1694,Isobutylene,0,0.1 lbs (est.)
1695,Isopentane,0,1.6 lbs (est.)
1696,NOX,0.04 LBS/HR,2.0 lbs (est.)
1697,"Pentane, N-",0,3.0 lbs (est.)
1698,Propylene (Propene),0,1.0 lbs (est.)
1699,Sulfur dioxide,0.01 LBS/HR,828.9 lbs (est.)
1700,Trans-2-butene,0,0.1 lbs (est.)
1701,VOC (unspeciated),0,6.2 lbs (est.)
1702,Butane,0,64.6 lbs (est.)
1703,Carbon Monoxide,0.45 LBS/HR,141.2 lbs (est.)
1704,Cis-2-butene,0,0.4 lbs (est.)
1705,Ethylene (gaseous),0,1.4 lbs (est.)
1706,Hexane,0,2.2 lbs (est.)
1707,Isobutane,0,51.4 lbs (est.)
1708,Isobutylene,0,2.9 lbs (est.)
1709,Isopentane,0,16.8 lbs (est.)
1710,NOX,0,19.6 lbs (est.)
1711,"Pentane, N-",0,0.1 lbs (est.)
1712,Propane,0,86.7 lbs (est.)
1713,Propylene (Propene),0,8.2 lbs (est.)
1714,Sulfur dioxide,0.37 LBS/HR,316.2 lbs (est.)
1715,Trans-2-butene,0,0.6 lbs (est.)
1716,VOC (unspeciated),0,245.0 lbs (est.)
1717,"1,3-BUTADIENE",0,0.2 lbs (est.)
1718,Butane,0,46.0 lbs (est.)
1719,Carbon Monoxide,0.79 LBS/HR,222.1 lbs (est.)
1720,Cis-2-butene,0,2.6 lbs (est.)
1721,Ethylene (gaseous),0,3.0 lbs (est.)
1722,Hexane,0,2.3 lbs (est.)
1723,Hydrogen Sulfide,0,25.8 lbs (est.)
1724,Isobutane,0,29.9 lbs (est.)
1725,Isobutylene,0,12.7 lbs (est.)
1726,Isopentane,0,1.3 lbs (est.)
1727,Nitrogen oxide,0.16 LBS/HR,30.7 lbs (est.)
1728,"Pentane, N-",0,14.3 lbs (est.)
1729,Propane,0,66.6 lbs (est.)
1730,Propylene,0,16.9 lbs (est.)
1731,Sulfur dioxide,0.47 LBS/HR,2382.6 lbs (est.)
1732,Trans-2-butene,0,3.5 lbs (est.)
1733,Carbon Monoxide,0,77.15 lbs (est.)
1734,Hydrogen Sulfide,0,32.13 lbs (est.)
1735,Nitrogen Oxides (NOx),0,9.55 lbs (est.)
1736,Sulfur dioxide,0,2963.28 lbs (est.)
1737,VOC - NONMETHANE,0,23.03 lbs (est.)
1738,Smoke,0,5.0 % op (est.)
1739,Carbon Monoxide,0.44 TONS/YR,99.67 lbs (est.)
1740,Hydrogen Sulfide,0.0001 TONS/YR,5.71 lbs (est.)
1741,NATURAL GAS,0.04 TONS/YR,139.25 lbs (est.)
1742,Nitrogen Oxides,0.04 TONS/YR,49.92 lbs (est.)
1743,Sulfur dioxide,0.09 TONS/YR,526.24 lbs (est.)
1744,Carbon Monoxide,1256.63 lbs,0.16 lbs (est.)
1745,Opacity,20.0 % op,13.8 % op (est.)
1746,"1,3-BUTADIENE",1520.67 lbs,0.29 lbs (est.)
1747,1-Butene,1520.67 lbs,6.87 lbs (est.)
1748,Benzene,33.12 lbs,0.27 lbs (est.)
1749,"Butane, N-",1520.67 lbs,1.88 lbs (est.)
1750,Carbon Monoxide,1520.67 lbs,27.2 lbs (est.)
1751,Cis-2-butene,1520.67 lbs,2.38 lbs (est.)
1752,"Ethylene, gaseous",1520.67 lbs,2.75 lbs (est.)
1753,Hydrogen Sulfide,4.4 lbs,0.09 lbs (est.)
1754,Isobutane,1520.67 lbs,6.41 lbs (est.)
1755,Nitrogen Oxides,766.12 lbs,5.34 lbs (est.)
1756,Pentane,1520.67 lbs,14.25 lbs (est.)
1757,Propane,1520.67 lbs,3.09 lbs (est.)
1758,Propylene (Propene),1520.67 lbs,8.68 lbs (est.)
1759,Sulfur dioxide,1404.1 lbs,8.84 lbs (est.)
1760,Trans-butene-2,1520.67 lbs,3.21 lbs (est.)
1761,Benzene,0,10.7 lbs (est.)
1762,"Butane, N-",0,51.2 lbs (est.)
14155,Sewage,0,500.0 gals (est.)
1763,"Butane, i",0,13.9 lbs (est.)
1764,Ethylbenzene,0,0.19 lbs (est.)
1765,Heptane (or n-),0,12.8 lbs (est.)
1766,Hexane,0,21.2 lbs (est.)
1767,Nonane,0,0.69 lbs (est.)
1768,Octane,0,3.5 lbs (est.)
1769,Pentane,0,18.4 lbs (est.)
1770,Pentanes,0,13.1 lbs (est.)
1771,Propane,0,192.9 lbs (est.)
1772,Toluene,0,4.5 lbs (est.)
1773,Xylene,0,0.29 lbs (est.)
1774,Carbon Monoxide,0,391.0 lbs (est.)
1775,Hydrogen Sulfide,0,75.0 lbs (est.)
1776,NOX,0,196.0 lbs (est.)
1777,Non-Methane Non-Ethane Natural Gas,0,460.0 lbs (est.)
1778,Sulfur dioxide,0,6937.0 lbs (est.)
1779,Hydrogen Sulfide,0,157.0 lbs (est.)
1780,NATURAL GAS,0,15000.0 lbs (est.)
1781,Catalyst fines,186.08 lbs,73.8 lbs (est.)
1782,Opacity,20.0 % op,100.0 % op (est.)
1783,"Butane, N-",5000.0 lbs,64.0 lbs (est.)
1784,"Butane, i",5000.0 lbs,19.0 lbs (est.)
1785,Carbon Monoxide,5000.0 lbs,228.0 lbs (est.)
1786,Hexanes,5000.0 lbs,117.0 lbs (est.)
1787,Hydrogen Sulfide,100.0 lbs,127.0 lbs (est.)
1788,NOX,1000.0 lbs,114.0 lbs (est.)
1789,"Pentane, N-",5000.0 lbs,38.0 lbs (est.)
1790,Propane,5000.0 lbs,107.0 lbs (est.)
1791,Sulfur dioxide,500.0 lbs,11954.0 lbs (est.)
1792,"pentane, iso-",5000.0 lbs,28.0 lbs (est.)
1793,Hydraulic Oil,0,Unknown
1794,Water (H2O),0,Unknown
1795,Carbon Monoxide,0,332.0 lbs (est.)
1796,Hydrogen Sulfide,0,33.0 lbs (est.)
1797,Non-Methane Non-Ethane Natural Gas,0,207.0 lbs (est.)
1798,Oxides of Nitrogen (NOx),0,38.8 lbs (est.)
1799,Sulfur dioxide,0,3046.0 lbs (est.)
1800,Water (H2O),0,Unknown
1801,Carbon Monoxide,0,299.0 lbs (est.)
1802,Hydrogen Sulfide,0,8.54 lbs (est.)
1803,NATURAL GAS,0,267.0 lbs (est.)
1804,NOX,0,150.0 lbs (est.)
1805,Sulfur dioxide,0,803.0 lbs (est.)
1806,Carbon Monoxide,0,10182.0 lbs (est.)
1807,Hydrogen Sulfide,0,65.0 lbs (est.)
1808,Non-Methane Non-Ethane Natural Gas,0,6422.0 lbs (est.)
1809,Oxides of Nitrogen (NOx),0,1187.5 lbs (est.)
1810,Sulfur dioxide,0,5991.0 lbs (est.)
1811,Sewage,0,Unknown
1812,Carbon Monoxide,5000.0 lbs,46.0 lbs (est.)
1813,Hydrogen Sulfide,100.0 lbs,50.47 lbs (est.)
1814,Nitrogen monoxide,5000.0 lbs,5.0 lbs (est.)
1815,Opacity,0,5.0 % op (est.)
1816,Sulfur dioxide,500.0 lbs,4654.83 lbs (est.)
1817,Carbon Monoxide,0.19 LBS/HR,10544.0 lbs (est.)
1818,Hydrogen Sulfide,0,310.0 lbs (est.)
1819,Non-Methane Non-Ethane Natural Gas,0.01 LBS/HR,6010.0 lbs (est.)
1820,Oxides of Nitrogen (NOx),0.02 LBS/HR,1229.7 lbs (est.)
1821,Sulfur dioxide,0.04 LBS/HR,28596.0 lbs (est.)
1822,Acetic acid,5000.0 lbs,Unknown
1823,Hydrogen peroxide,1000.0 lbs,Unknown
1824,Sodium hypochlorite,100.0 lbs,Unknown
1825,Sewage,0,Unknown
1826,Carbon Monoxide,4.07 LBS/HR,5258.0 lbs (est.)
1827,Hydrogen Sulfide,0,120.7 lbs (est.)
1828,Non-Methane Non-Ethane Natural Gas,0.7 LBS/HR,595.0 lbs (est.)
1829,Oxides of Nitrogen (NOx),0.47 LBS/HR,613.2 lbs (est.)
1830,Sulfur dioxide,0.02 LBS/HR,11133.0 lbs (est.)
1831,CARBONAL SULFITE,0,13.23133 lbs (est.)
1832,Carbon Monoxide,0,2364.2775 lbs (est.)
1833,Carbon disulfide,0,39.69399 lbs (est.)
1834,Hydrogen Sulfide,0,39.69399 lbs (est.)
1835,Nitrogen Oxides,0,173.98811 lbs (est.)
1836,Other,0,95.2614 lbs (est.)
1837,Particulate Matter,0,232.97625 lbs (est.)
1838,Sulfur dioxide,0,7783.13574 lbs (est.)
1839,Carbon Monoxide,5.76 LBS/HR,135.0 lbs (est.)
1840,Ethylene (gaseous),2.5 LBS/HR,143.4 lbs (est.)
1841,Other,0.3 LBS/HR,0.5 lbs (est.)
1842,Oxides of Nitrogen (NOx),1.13 LBS/HR,26.4 lbs (est.)
1843,Propane,0.86 LBS/HR,1.43 lbs (est.)
1844,Propylene (Propene),2.51 LBS/HR,27.2 lbs (est.)
1845,Carbon Monoxide,51.53 LBS/HR,1210.0 lbs (est.)
1846,Ethylene (gaseous),22.55 LBS/HR,1291.0 lbs (est.)
1847,Other,2.71 LBS/HR,4.5 lbs (est.)
1848,Oxides of Nitrogen (NOx),10.12 LBS/HR,238.0 lbs (est.)
1849,Propane,7.7 LBS/HR,12.8 lbs (est.)
1850,Propylene (Propene),22.61 LBS/HR,245.0 lbs (est.)
1851,Carbon Monoxide,5.76 LBS/HR,135.0 lbs (est.)
1852,Ethylene (gaseous),2.5 LBS/HR,143.4 lbs (est.)
1853,Other,0.3 LBS/HR,0.5 lbs (est.)
1854,Oxides of Nitrogen (NOx),1.12 LBS/HR,26.4 lbs (est.)
1855,Propane,0.86 LBS/HR,1.43 lbs (est.)
1856,Propylene,2.51 LBS/HR,27.2 lbs (est.)
1857,Carbon Monoxide,51.53 LBS/HR,1210.0 lbs (est.)
1858,Ethylene (gaseous),22.55 LBS/HR,1291.0 lbs (est.)
1859,Other,2.71 LBS/HR,4.5 lbs (est.)
1860,Oxides of Nitrogen (NOx),10.12 LBS/HR,238.0 lbs (est.)
1861,Propane,7.7 LBS/HR,12.8 lbs (est.)
1862,Propylene,22.61 LBS/HR,245.0 lbs (est.)
1863,Carbon Monoxide,0.3 TONS/YR,181.43 lbs (est.)
1864,Hydrogen Sulfide,0.02 TONS/YR,17.03 lbs (est.)
1865,NATURAL GAS,0.13 TONS/YR,131.27 lbs (est.)
1866,Nitrogen Oxides,0.07 TONS/YR,90.88 lbs (est.)
1867,Sulfur dioxide,1.44 TONS/YR,1568.85 lbs (est.)
1868,Carbon Monoxide,4.0 TONS/YR,187.84 lbs (est.)
1869,Hydrogen Sulfide,0.0001 TONS/YR,9.65 lbs (est.)
1870,NATURAL GAS,1.2 TONS/YR,250.48 lbs (est.)
1871,Nitrogen dioxide,0.0001 TONS/YR,4.7 lbs (est.)
1872,Nitrogen oxide,0.0001 TONS/YR,89.38 lbs (est.)
1873,Sulfur dioxide,0.3 TONS/YR,888.71 lbs (est.)
1874,2 -methylpentane,0.1012 LBS/HR,266.31 lbs (est.)
1875,3 methylpentane,0.05175 LBS/HR,135.12 lbs (est.)
1876,Benzene,0.0138 LBS/HR,36.19 lbs (est.)
1877,Cyclopentane,0.046 LBS/HR,120.34 lbs (est.)
1878,Natural gasoline,1.15 LBS/HR,3016.0 lbs (est.)
1879,Opacity,20.0 % op,100.0 % op (est.)
